"id","Weighted N-Gram Similarity id::id","Weighted Edit Similarity id::id","Cosine Similarity id::id","Weighted N-Gram Similarity title::title","Weighted Edit Similarity title::title","Cosine Similarity title::title","Weighted N-Gram Similarity authors::authors","Weighted Edit Similarity authors::authors","Cosine Similarity authors::authors","Weighted N-Gram Similarity venue::venue","Weighted Edit Similarity venue::venue","Cosine Similarity venue::venue","Logarithmic Similarity year::year","class"
"conf/sigmod/AdiBEY01::187460","0.0","0.05","0.0","0.03361344537815126","0.015625","0.0","0.02631578947368421","0.02","0.0","0.2564102564102564","0.07142857142857142","0.40824827551841736","0.010916429225823648","negative"
"conf/sigmod/AdiBEY01::190628","0.0","0.047619047619047616","0.0","0.06896551724137931","0.015873015873015872","0.0","0.02631578947368421","0.02","0.0","0.2564102564102564","0.07142857142857142","0.40824827551841736","0.010916429225823648","negative"
"conf/sigmod/AdiBEY01::195666","0.0","0.047619047619047616","0.0","0.07633587786259542","0.016129032258064516","0.0","0.0","0.02040816326530612","0.0","0.0","0.024390243902439025","0.0","0.010916429225823648","negative"
"conf/sigmod/AdiBEY01::262767","0.0","0.047619047619047616","0.0","0.2204724409448819","0.01694915254237288","0.0","0.0","0.02040816326530612","0.0","0.2564102564102564","0.07142857142857142","0.40824827551841736","0.17157127504421774","negative"
"conf/sigmod/AdiBEY01::273270","0.0","0.05","0.0","0.04285714285714286","0.015151515151515152","0.0","0.0","0.019230769230769232","0.0","0.2564102564102564","0.07142857142857142","0.40824827551841736","0.29651929742891125","negative"
"conf/sigmod/AdiBEY01::280348","0.0","0.047619047619047616","0.0","0.08771929824561403","0.014925373134328358","0.0","0.02531645569620253","0.02127659574468085","0.0","0.26865671641791045","0.027777777777777776","0.28867512941360474","0.08779187986499037","negative"
"conf/sigmod/AdiBEY01::304231","0.06666666666666667","0.05","0.0","0.08333333333333333","0.014925373134328358","0.0","0.0","0.02","0.0","0.26865671641791045","0.027777777777777776","0.28867512941360474","0.47081072629987186","negative"
"conf/sigmod/AdiBEY01::615216","0.0","0.047619047619047616","0.0","0.15730337078651685","0.0136986301369863","0.0","0.041237113402061855","0.02127659574468085","0.0","0.0","0.014492753623188406","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::671197","0.0","0.047619047619047616","0.0","0.09395973154362416","0.014925373134328358","0.0","0.038834951456310676","0.022222222222222223","0.0","0.0","0.047619047619047616","0.0","0.29651929742891125","negative"
"conf/sigmod/AdiBEY01::671327","0.0","0.047619047619047616","0.0","0.058394160583941604","0.016666666666666666","0.0","0.043010752688172046","0.02040816326530612","0.0","0.0","0.047619047619047616","0.0","0.29651929742891125","negative"
"conf/sigmod/AdiBEY01::671352","0.0","0.047619047619047616","0.0","0.13580246913580246","0.015873015873015872","0.0","0.07272727272727272","0.021739130434782608","0.0","0.0","0.047619047619047616","0.0","0.47081072629987186","negative"
"conf/sigmod/AdiBEY01::671669","0.0","0.047619047619047616","0.0","0.04580152671755725","0.01639344262295082","0.0","0.0","0.02127659574468085","0.0","0.0","0.047619047619047616","0.0","0.47081072629987186","negative"
"conf/sigmod/AdiBEY01::671671","0.06666666666666667","0.05","0.0","0.03361344537815126","0.015151515151515152","0.0","0.0196078431372549","0.022222222222222223","0.0","0.0","0.047619047619047616","0.0","0.47081072629987186","negative"
"conf/sigmod/AdiBEY01::672364","0.0","0.047619047619047616","0.0","0.09326424870466321","0.011627906976744186","0.0","0.10062893081761007","0.01282051282051282","0.0","0.0","0.047619047619047616","0.0","1.0","negative"
"conf/sigmod/AdiBEY01::673134","0.0","0.047619047619047616","0.0","0.11920529801324503","0.015384615384615385","0.0","0.0","0.020833333333333332","0.0","0.0","0.047619047619047616","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::673140","0.0","0.05","0.0","0.144","0.015873015873015872","0.0","0.0","0.019230769230769232","0.0","0.0","0.047619047619047616","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::673142","0.0","0.047619047619047616","0.0","0.16560509554140126","0.015873015873015872","0.11180339753627777","0.013986013986013986","0.014492753623188406","0.0","0.0","0.047619047619047616","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::673158","0.0","0.047619047619047616","0.0","0.1134020618556701","0.011904761904761904","0.0","0.0","0.02","0.0","0.0","0.047619047619047616","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::673302","0.0","0.05","0.0","0.09580838323353294","0.014285714285714285","0.0","0.03571428571428571","0.02127659574468085","0.0","0.0","0.047619047619047616","0.0","0.036981662106170606","negative"
"conf/sigmod/AdiBEY01::673472","0.0","0.047619047619047616","0.0","0.08333333333333333","0.016129032258064516","0.0","0.027777777777777776","0.02","0.0","0.0","0.047619047619047616","0.0","0.08779187986499037","negative"
